,电影名,上映时间,制作者,剧情类型,评分,评价人数
153,恐怖直播,2013,韩国,剧情犯罪悬疑,8.7,631251人评价
154,血战钢锯岭,2016,澳大利亚美国,剧情传记历史战争,8.7,761118人评价
155,七武士,1954,日本,动作冒险剧情,9.3,189657人评价
156,花样年华,2000,中国香港,剧情爱情,8.7,580820人评价
157,九品芝麻官,1994,中国香港中国大陆,剧情喜剧古装,8.7,643661人评价
158,头脑特工队,2015,美国,喜剧动画冒险,8.8,586901人评价
159,黑客帝国3：矩阵革命,2003,美国,动作科幻,8.8,432256人评价
160,色，戒,2007,中国台湾中国大陆美国中国香港,剧情爱情情色,8.6,759019人评价
161,茶馆,1982,中国大陆,剧情历史,9.5,129035人评价
162,惊魂记,1960,美国,悬疑惊悚恐怖,9.0,277177人评价
163,电锯惊魂,2004,美国,悬疑惊悚恐怖,8.8,511659人评价
164,三块广告牌,2017,英国美国,剧情犯罪,8.7,795275人评价
165,你的名字。,2016,日本,剧情爱情动画,8.5,1342507人评价
166,达拉斯买家俱乐部,2013,美国,剧情传记同性,8.8,438314人评价
167,疯狂原始人,2013,美国,喜剧动画冒险,8.7,812935人评价
168,卢旺达饭店,2004,英国南非意大利美国,剧情传记历史战争,8.9,317876人评价
169,心迷宫,2014,中国大陆,剧情犯罪悬疑,8.7,500483人评价
170,上帝之城,2002,巴西法国,犯罪剧情,9.0,292817人评价
171,谍影重重3,2007,美国德国法国英国,动作悬疑惊悚,8.8,403926人评价
172,英雄本色,1986,中国香港,剧情动作犯罪,8.6,515418人评价
173,风之谷,1984,日本,动画奇幻冒险,8.9,344208人评价
174,纵横四海,1991,中国香港,剧情喜剧动作犯罪,8.8,405880人评价
175,海街日记,2015,日本,剧情家庭,8.8,429754人评价
176,绿里奇迹,1999,美国,犯罪剧情奇幻悬疑,8.9,315761人评价
177,爱在午夜降临前,2013,美国希腊,剧情爱情,8.9,381821人评价
178,记忆碎片,2000,美国,犯罪剧情悬疑惊悚,8.7,582633人评价
179,岁月神偷,2010,中国香港中国大陆,剧情家庭,8.7,561910人评价
180,忠犬八公物语,1987,日本,剧情,9.2,187193人评价
181,荒蛮故事,2014,阿根廷西班牙,剧情喜剧犯罪,8.8,428396人评价
182,疯狂的石头,2006,中国大陆中国香港,喜剧犯罪,8.6,790581人评价
183,爆裂鼓手,2014,美国,剧情音乐,8.7,565192人评价
184,小偷家族,2018,日本,剧情犯罪家庭,8.7,789038人评价
185,无敌破坏王,2012,美国,喜剧动画奇幻冒险,8.7,517901人评价
186,雨中曲,1952,美国,喜剧歌舞爱情,9.1,213088人评价
187,贫民窟的百万富翁,2008,英国,剧情爱情,8.6,724839人评价
188,冰川时代,2002,美国,喜剧动画冒险,8.6,592620人评价
189,2001太空漫游,1968,英国美国,科幻惊悚冒险,8.9,308030人评价
190,东邪西毒,1994,中国香港中国台湾,剧情动作爱情武侠古装,8.6,556653人评价
191,背靠背，脸对脸,1994,中国大陆中国香港,剧情,9.5,121747人评价
192,无间道2,2003,中国香港,剧情犯罪惊悚,8.7,455719人评价
193,恐怖游轮,2009,英国澳大利亚,剧情悬疑惊悚,8.5,825279人评价
194,小丑,2019,美国加拿大,剧情犯罪惊悚,8.7,970014人评价
195,真爱至上,2003,英国美国法国,喜剧剧情爱情,8.6,713245人评价
196,你看起来好像很好吃,2010,日本,剧情动画儿童,8.9,322202人评价
197,遗愿清单,2007,美国,冒险喜剧剧情,8.7,438119人评价
198,牯岭街少年杀人事件,1991,中国台湾,剧情犯罪,8.9,283651人评价
199,黑天鹅,2010,美国,剧情惊悚,8.6,761459人评价
200,魔女宅急便,1989,日本,动画奇幻冒险,8.7,441524人评价
201,东京教父,2003,日本,剧情喜剧动画,9.0,215164人评价
202,大佛普拉斯,2017,中国台湾,剧情喜剧,8.7,433726人评价
203,可可西里,2004,中国大陆中国香港,剧情犯罪,8.9,292515人评价
204,心灵奇旅,2020,美国,动画奇幻音乐,8.7,933593人评价
205,城市之光,1931,美国,喜剧剧情爱情,9.3,139435人评价
206,雨人,1988,美国,剧情,8.7,391485人评价
207,恋恋笔记本,2004,美国,剧情爱情,8.6,646978人评价
208,源代码,2011,美国加拿大,科幻悬疑惊悚,8.5,808865人评价
209,初恋这件小事,2010,泰国,剧情喜剧爱情,8.5,956836人评价
